IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,99,13.85
47.236.123.133,8080,8080,false,SIN,Asia Pacific,Singapore,58,13.85
8.219.240.141,8443,8443,true,SIN,Asia Pacific,Singapore,148,13.84
8.222.144.50,2083,2083,true,SIN,Asia Pacific,Singapore,90,13.84
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,73,13.83
47.236.206.153,8880,8880,false,SIN,Asia Pacific,Singapore,24,13.83
8.222.224.17,2082,2082,false,SIN,Asia Pacific,Singapore,4,13.80
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,8,13.80
8.219.204.120,2052,2052,false,SIN,Asia Pacific,Singapore,26,13.80
47.236.39.34,2052,2052,false,SIN,Asia Pacific,Singapore,24,13.80
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,75,13.80
47.236.204.152,2083,2083,true,SIN,Asia Pacific,Singapore,58,13.80
8.222.147.203,2095,2095,false,SIN,Asia Pacific,Singapore,19,13.79
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,82,13.79
8.219.170.58,8443,8443,true,SIN,Asia Pacific,Singapore,119,13.79
8.219.253.185,2083,2083,true,SIN,Asia Pacific,Singapore,142,13.79
8.222.169.182,2053,2053,true,SIN,Asia Pacific,Singapore,128,13.79
8.219.60.130,2087,2087,true,SIN,Asia Pacific,Singapore,126,13.79
47.236.65.232,2052,2052,false,SIN,Asia Pacific,Singapore,17,13.78
8.219.12.152,2052,2052,false,SIN,Asia Pacific,Singapore,6,13.78
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,161,13.78
8.219.206.180,2053,2053,true,SIN,Asia Pacific,Singapore,125,13.78
8.219.170.58,2052,2052,false,SIN,Asia Pacific,Singapore,8,13.78
8.219.101.138,2096,2096,true,SIN,Asia Pacific,Singapore,85,13.77
8.219.185.191,2087,2087,true,SIN,Asia Pacific,Singapore,160,13.77
47.236.79.77,2087,2087,true,SIN,Asia Pacific,Singapore,135,13.77
8.219.184.92,2096,2096,true,SIN,Asia Pacific,Singapore,64,13.77
47.236.163.95,8080,8080,false,SIN,Asia Pacific,Singapore,5,13.77
8.219.206.180,8080,8080,false,SIN,Asia Pacific,Singapore,8,13.76
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,5,13.76
8.219.90.196,2083,2083,true,SIN,Asia Pacific,Singapore,110,13.76
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,115,13.76
