IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.187.203,443,443,true,FRA,Europe,Frankfurt,316,4.09
130.162.228.38,443,443,true,FRA,Europe,Frankfurt,318,4.08
129.159.200.221,443,443,true,FRA,Europe,Frankfurt,316,4.08
84.235.171.90,443,443,true,FRA,Europe,Frankfurt,323,4.07
193.123.34.230,443,443,true,FRA,Europe,Frankfurt,323,4.07
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,313,4.07
193.123.60.59,443,443,true,FRA,Europe,Frankfurt,315,4.06
138.2.147.19,443,443,true,FRA,Europe,Frankfurt,343,4.04
129.159.249.28,443,443,true,FRA,Europe,Frankfurt,315,4.04
144.24.175.128,443,443,true,FRA,Europe,Frankfurt,320,4.03
141.144.203.95,443,443,true,FRA,Europe,Frankfurt,315,4.03
143.47.179.76,443,443,true,FRA,Europe,Frankfurt,315,4.03
141.147.26.164,443,443,true,FRA,Europe,Frankfurt,324,4.03
141.144.201.159,443,443,true,FRA,Europe,Frankfurt,315,4.02
143.47.176.242,443,443,true,FRA,Europe,Frankfurt,314,4.02
141.147.41.40,443,443,true,FRA,Europe,Frankfurt,321,4.01
158.180.56.134,443,443,true,FRA,Europe,Frankfurt,359,4.01
84.235.171.14,443,443,true,FRA,Europe,Frankfurt,327,4.01
193.123.58.21,443,443,true,FRA,Europe,Frankfurt,318,4.01
139.185.34.245,443,443,true,MXP,Europe,Milan,116,4.00
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,313,3.99
152.70.169.120,443,443,true,FRA,Europe,Frankfurt,314,3.99
141.144.204.188,443,443,true,FRA,Europe,Frankfurt,316,3.98
158.180.15.35,443,443,true,FRA,Europe,Frankfurt,316,3.98
141.144.204.171,443,443,true,FRA,Europe,Frankfurt,322,3.98
141.144.206.86,443,443,true,FRA,Europe,Frankfurt,317,3.97
141.147.15.108,443,443,true,FRA,Europe,Frankfurt,314,3.97
141.147.12.139,443,443,true,FRA,Europe,Frankfurt,316,3.96
152.70.52.77,443,443,true,FRA,Europe,Frankfurt,316,3.96
84.235.172.34,443,443,true,FRA,Europe,Frankfurt,326,3.95
152.70.58.179,443,443,true,FRA,Europe,Frankfurt,323,3.95
141.144.197.125,443,443,true,FRA,Europe,Frankfurt,317,3.94
158.101.203.93,443,443,true,FRA,Europe,Frankfurt,327,3.94
158.101.200.152,443,443,true,FRA,Europe,Frankfurt,317,3.93
141.144.229.248,443,443,true,FRA,Europe,Frankfurt,342,3.90
130.61.195.162,443,443,true,FRA,Europe,Frankfurt,316,3.90
132.145.229.24,443,443,true,FRA,Europe,Frankfurt,316,3.89
152.70.168.130,443,443,true,FRA,Europe,Frankfurt,318,3.89
158.178.147.8,443,443,true,FRA,Europe,Frankfurt,317,3.87
