IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.34.3.41,443,443,true,FRA,Europe,Frankfurt,274,5.16
34.154.25.228,443,443,true,FRA,Europe,Frankfurt,260,5.16
34.32.252.252,443,443,true,FRA,Europe,Frankfurt,259,5.16
34.91.83.145,443,443,true,FRA,Europe,Frankfurt,261,5.16
34.89.180.110,443,443,true,FRA,Europe,Frankfurt,252,5.16
35.242.221.191,443,443,true,FRA,Europe,Frankfurt,285,5.15
34.65.92.52,443,443,true,FRA,Europe,Frankfurt,250,5.15
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,273,5.14
34.90.246.126,443,443,true,FRA,Europe,Frankfurt,273,5.14
34.65.203.120,443,443,true,FRA,Europe,Frankfurt,280,5.14
34.65.99.191,443,443,true,FRA,Europe,Frankfurt,253,5.13
34.90.137.119,443,443,true,FRA,Europe,Frankfurt,286,5.13
34.32.237.155,443,443,true,FRA,Europe,Frankfurt,259,5.13
34.65.87.96,443,443,true,FRA,Europe,Frankfurt,289,5.13
34.118.122.183,443,443,true,FRA,Europe,Frankfurt,271,5.13
34.154.56.153,443,443,true,FRA,Europe,Frankfurt,251,5.12
34.65.197.0,443,443,true,FRA,Europe,Frankfurt,253,5.12
34.65.88.186,443,443,true,FRA,Europe,Frankfurt,253,5.12
34.90.29.225,443,443,true,FRA,Europe,Frankfurt,266,5.12
34.65.65.7,443,443,true,FRA,Europe,Frankfurt,254,5.12
34.90.29.225,443,443,true,FRA,Europe,Frankfurt,259,5.10
34.65.237.96,443,443,true,FRA,Europe,Frankfurt,251,5.09
34.65.197.0,443,443,true,FRA,Europe,Frankfurt,254,5.09
34.154.25.8,443,443,true,FRA,Europe,Frankfurt,258,5.08
34.32.192.220,443,443,true,FRA,Europe,Frankfurt,259,5.08
34.65.44.52,443,443,true,FRA,Europe,Frankfurt,253,5.08
34.141.133.128,443,443,true,FRA,Europe,Frankfurt,260,5.06
34.154.173.38,443,443,true,FRA,Europe,Frankfurt,250,5.06
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,267,5.05
34.65.34.181,443,443,true,FRA,Europe,Frankfurt,257,5.05
34.90.19.50,443,443,true,FRA,Europe,Frankfurt,261,5.04
34.89.255.52,443,443,true,FRA,Europe,Frankfurt,252,5.04
34.65.139.204,443,443,true,FRA,Europe,Frankfurt,251,5.03
34.154.190.165,443,443,true,FRA,Europe,Frankfurt,262,5.03
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,281,5.02
34.65.88.186,443,443,true,FRA,Europe,Frankfurt,250,5.02
34.32.222.246,443,443,true,FRA,Europe,Frankfurt,257,5.02
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,262,5.01
34.159.120.166,443,443,true,FRA,Europe,Frankfurt,282,5.01
34.91.58.56,443,443,true,FRA,Europe,Frankfurt,257,5.01
34.118.122.183,443,443,true,FRA,Europe,Frankfurt,271,5.01
34.116.141.170,443,443,true,FRA,Europe,Frankfurt,330,5.00
34.65.134.51,443,443,true,FRA,Europe,Frankfurt,272,5.00
34.65.25.84,443,443,true,FRA,Europe,Frankfurt,251,5.00
34.90.19.50,443,443,true,FRA,Europe,Frankfurt,265,4.98
34.116.195.230,443,443,true,FRA,Europe,Frankfurt,270,4.98
34.65.52.101,443,443,true,FRA,Europe,Frankfurt,251,4.98
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,257,4.97
34.116.158.147,443,443,true,FRA,Europe,Frankfurt,301,4.97
34.159.233.157,443,443,true,FRA,Europe,Frankfurt,264,4.97
34.65.1.57,443,443,true,FRA,Europe,Frankfurt,250,4.96
34.65.153.152,443,443,true,FRA,Europe,Frankfurt,251,4.96
